
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [::1]:65526            [::1]:65527            ESTABLISHED     3108
  TCP    [::1]:65527            [::1]:65526            ESTABLISHED     3108
  UDP    0.0.0.0:500            *:*                                    1052
  UDP    0.0.0.0:1900           *:*                                    6024
  UDP    0.0.0.0:3600           *:*                                    2864
  UDP    0.0.0.0:4466           *:*                                    6308
  UDP    0.0.0.0:4500           *:*                                    1052
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5353           *:*                                    10068
  UDP    0.0.0.0:5355           *:*                                    1336
  UDP    0.0.0.0:8000           *:*                                    4912
  UDP    0.0.0.0:8908           *:*                                    6308
  UDP    0.0.0.0:9000           *:*                                    4912
  UDP    0.0.0.0:18847          *:*                                    1104
  UDP    0.0.0.0:23788          *:*                                    2540
  UDP    0.0.0.0:23920          *:*                                    1104
